stock_code,fiscal_year,esg_year,company_name,esg_grade,status,reason,rcept_no,sub_status
068270,2024,2024,셀트리온,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005490,2022,2022,POSCO홀딩스,A,SUCCESS,,20230309000896.0,
005490,2023,2023,POSCO홀딩스,A+,SUCCESS,,20240322000986.0,
005490,2024,2024,POSCO홀딩스,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
051910,2022,2022,LG화학,B,SUCCESS,,20230324001178.0,
051910,2023,2023,LG화학,A,SUCCESS,,20240315000957.0,
051910,2024,2024,LG화학,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
096770,2022,2022,SK이노베이션,A,SUCCESS,,20230322000906.0,
096770,2023,2023,SK이노베이션,A+,SUCCESS,,20240320000950.0,
096770,2024,2024,SK이노베이션,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
011170,2022,2022,롯데케미칼,A,SUCCESS,,20230321001511.0,
011170,2023,2023,롯데케미칼,B+,SUCCESS,,20240401004380.0,
011170,2024,2024,롯데케미칼,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
010130,2022,2022,고려아연,B,SUCCESS,,20230309000731.0,
010130,2023,2023,고려아연,B,SUCCESS,,20240328001400.0,
010130,2024,2024,고려아연,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
010950,2022,2022,S-Oil,A,SUCCESS,,20230320000502.0,
010950,2023,2023,S-Oil,A+,SUCCESS,,20240320001242.0,
010950,2024,2024,S-Oil,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
086790,2022,2022,하나금융지주,A,SUCCESS,,20230316001364.0,
086790,2023,2023,하나금융지주,A,FAILED_EMPTY_FEATURE,no feature row exp_F,20240516001695.0,
086790,2024,2024,하나금융지주,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
055550,2022,2022,신한지주,A+,FAILED_NO_PASSAGES,no firm_year_document,20230315001015.0,
055550,2023,2023,신한지주,A+,FAILED_NO_PASSAGES,no firm_year_document,20240502000081.0,
055550,2024,2024,신한지주,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
105560,2022,2022,KB금융지주,A+,FAILED_NO_PASSAGES,no firm_year_document,20230324001073.0,
105560,2023,2023,KB금융,A+,FAILED_NO_PASSAGES,no firm_year_document,20240326000894.0,
105560,2024,2024,KB금융,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
316140,2022,2022,우리금융지주,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
316140,2023,2023,우리금융지주,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
316140,2024,2024,우리금융지주,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
138930,2022,2022,BNK금융지주,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
138930,2023,2023,BNK금융지주,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
138930,2024,2024,BNK금융지주,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
024110,2022,2022,기업은행,A,SUCCESS,,20230315001098.0,
024110,2023,2023,기업은행,A,SUCCESS,,20240430000630.0,
024110,2024,2024,기업은행,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000640,2022,2022,동아쏘시오홀딩스,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000640,2023,2023,동아쏘시오홀딩스,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000640,2024,2024,동아쏘시오홀딩스,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001740,2022,2022,SK네트웍스,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001740,2023,2023,SK네트웍스,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001740,2024,2024,SK네트웍스,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
002790,2022,2022,아모레퍼시픽홀딩스,A,SUCCESS,,20230309000832.0,
002790,2023,2023,아모레퍼시픽홀딩스,A,SUCCESS,,20240307000584.0,
002790,2024,2024,아모레퍼시픽홀딩스,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
003670,2022,2022,포스코케미칼,B+,SUCCESS,,20230317000751.0,
003670,2023,2023,포스코퓨처엠,A,SUCCESS,,20240326000383.0,
003670,2024,2024,포스코퓨처엠,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
006400,2022,2022,삼성SDI,A,SUCCESS,,20230313000726.0,
006400,2023,2023,삼성SDI,A,SUCCESS,,20240312000853.0,
006400,2024,2024,삼성SDI,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
007070,2022,2022,GS리테일,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
007070,2023,2023,GS리테일,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
007070,2024,2024,GS리테일,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
011210,2022,2022,현대위아,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
011210,2023,2023,현대위아,A+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
011210,2024,2024,현대위아,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
014790,2022,2022,HL D&I,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
014790,2023,2023,HL D&I,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
014790,2024,2024,HL D&I,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
030200,2022,2022,케이티,A,SUCCESS,,20230323001449.0,
030200,2023,2023,케이티,A,SUCCESS,,20240320002050.0,
030200,2024,2024,케이티,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
042670,2022,2022,현대두산인프라코어,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
042670,2023,2023,HD현대인프라코어,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
042670,2024,2024,HD현대인프라코어,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
057050,2022,2022,현대홈쇼핑,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
057050,2023,2023,현대홈쇼핑,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
057050,2024,2024,현대홈쇼핑,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
064350,2022,2022,현대로템,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
064350,2023,2023,현대로템,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
064350,2024,2024,현대로템,A+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000070,2022,2022,삼양홀딩스,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000070,2023,2023,삼양홀딩스,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000070,2024,2024,삼양홀딩스,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000100,2022,2022,유한양행,B+,SUCCESS,,20230315001431.0,
000100,2023,2023,유한양행,A,SUCCESS,,20240307000960.0,
000100,2024,2024,유한양행,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000150,2022,2022,두산,B+,SUCCESS,,20230321001440.0,
000150,2023,2023,두산,B+,SUCCESS,,20240418000399.0,
000150,2024,2024,두산,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000210,2022,2022,DL,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000210,2023,2023,DL,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000210,2024,2024,DL,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000270,2022,2022,기아,B+,FAILED_NO_PASSAGES,no firm_year_document,20230309000734.0,
000270,2023,2023,기아,B,SUCCESS,,20240312000909.0,
000270,2024,2024,기아,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000320,2022,2022,노루홀딩스,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000320,2023,2023,노루홀딩스,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000320,2024,2024,노루홀딩스,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000370,2022,2022,한화손해보험,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000370,2023,2023,한화손해보험,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000370,2024,2024,한화손해보험,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000720,2022,2022,현대건설,A,SUCCESS,,20230315001104.0,
000720,2023,2023,현대건설,A,SUCCESS,,20240329003141.0,
000720,2024,2024,현대건설,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001120,2022,2022,LX인터내셔널,A,SUCCESS,,20230315000850.0,
001120,2023,2023,LX인터내셔널,B+,SUCCESS,,20240320000868.0,
001120,2024,2024,LX인터내셔널,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001230,2022,2022,동국제강,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001230,2023,2023,동국홀딩스,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001230,2024,2024,동국홀딩스,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001430,2022,2022,세아베스틸지주,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001430,2023,2023,세아베스틸지주,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001430,2024,2024,세아베스틸지주,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001440,2022,2022,대한전선,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001440,2023,2023,대한전선,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001440,2024,2024,대한전선,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001450,2022,2022,현대해상,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001450,2023,2023,현대해상,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001450,2024,2024,현대해상,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001630,2022,2022,종근당홀딩스,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001630,2023,2023,종근당홀딩스,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001630,2024,2024,종근당홀딩스,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001680,2022,2022,대상,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001680,2023,2023,대상,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001680,2024,2024,대상,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001800,2022,2022,오리온홀딩스,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001800,2023,2023,오리온홀딩스,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001800,2024,2024,오리온홀딩스,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
002030,2022,2022,아세아,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002030,2023,2023,아세아,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002030,2024,2024,아세아,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
002320,2022,2022,한진,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002320,2023,2023,한진,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002320,2024,2024,한진,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000080,2022,2022,하이트진로,B,SUCCESS,,20230316001349.0,
000080,2023,2023,하이트진로,B,SUCCESS,,20240314000553.0,
000080,2024,2024,하이트진로,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000140,2022,2022,하이트진로홀딩스,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000140,2023,2023,하이트진로홀딩스,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000140,2024,2024,하이트진로홀딩스,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000230,2022,2022,일동홀딩스,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000230,2023,2023,일동홀딩스,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000230,2024,2024,일동홀딩스,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000390,2022,2022,삼화페인트공업,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000390,2023,2023,삼화페인트공업,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000390,2024,2024,삼화페인트공업,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000400,2022,2022,롯데손해보험,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000400,2023,2023,롯데손해보험,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000400,2024,2024,롯데손해보험,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000430,2022,2022,대원강업,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000430,2023,2023,대원강업,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000430,2024,2024,대원강업,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000490,2022,2022,대동,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000490,2023,2023,대동,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000490,2024,2024,대동,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000540,2022,2022,흥국화재,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000540,2023,2023,흥국화재,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000540,2024,2024,흥국화재,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000680,2022,2022,LS네트웍스,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000680,2023,2023,LS네트웍스,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000680,2024,2024,LS네트웍스,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000700,2022,2022,유수홀딩스,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000700,2023,2023,유수홀딩스,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000700,2024,2024,유수홀딩스,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000810,2022,2022,삼성화재해상보험,A,SUCCESS,,20230309000772.0,
000810,2023,2023,삼성화재해상보험,A,SUCCESS,,20240429000782.0,
000810,2024,2024,삼성화재해상보험,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000860,2022,2022,강남제비스코,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000860,2023,2023,강남제비스코,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000860,2024,2024,강남제비스코,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000880,2022,2022,한화,A,FAILED_NO_PASSAGES,no firm_year_document,20230321001313.0,
000880,2023,2023,한화,B+,FAILED_NO_PASSAGES,no firm_year_document,20240430000953.0,
000880,2024,2024,한화,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001060,2022,2022,JW중외제약,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001060,2023,2023,JW중외제약,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001060,2024,2024,JW중외제약,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001250,2022,2022,GS글로벌,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001250,2023,2023,GS글로벌,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001250,2024,2024,GS글로벌,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001500,2022,2022,현대차증권,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001500,2023,2023,현대차증권,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001500,2024,2024,현대차증권,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001510,2022,2022,SK증권,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001510,2023,2023,SK증권,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
